file,offset,sample_pct,batch_size,hidden_channels,convhidden_channels,num_layers,num_heads,lr,epochs,device,train_aucroc,train_prauc,train_acc,train_sens,train_spec,train_pos_f1,test_aucroc,test_prauc,test_acc,test_sens,test_spec,test_pos_f1
EPI_heterodata_diag500_first.h5,500,10,full,32,32,2,2,0.001,100,cpu,0.7465806286594586,0.7074864080218806,0.7015623077869356,0.7764792717431418,0.6266453438307295,0.7223620965896086,0.7466324162600642,0.13351352021190574,0.6770781300502453,0.695959595959596,0.6759117711290675,0.20049468936417866
EPI_heterodata_diag500_first.h5,500,20,full,32,32,2,2,0.001,100,cpu,0.7085371038978021,0.7457724372246612,0.6535712103623144,0.6253436793547993,0.6817987413698295,0.643508330713612,0.7051859693402907,0.36390754879957,0.6901288436393553,0.6119951040391677,0.6951173767622144,0.1916296182738004
EPI_heterodata_diag500_first.h5,500,30,full,32,32,2,2,0.001,100,cpu,0.7060969880126136,0.6760962359956932,0.6607382413919265,0.5889670311801293,0.7325094516037237,0.6345063174721353,0.6985314974229851,0.3591273271777302,0.7293366372513491,0.5670731707317073,0.739884634240474,0.20367115234994093
EPI_heterodata_diag500_first.h5,500,40,full,32,32,2,2,0.001,100,cpu,0.7234609174310618,0.755025796504557,0.6595952206778835,0.5832723725920507,0.7359180687637161,0.6314677930306231,0.7332166686885366,0.3730613526061129,0.7314851543332305,0.5838894184938036,0.7411814438477556,0.21141649048625794
EPI_heterodata_diag500_first.h5,500,50,full,32,32,2,2,0.001,100,cpu,0.7131561733008112,0.7513665208918306,0.6568834254679469,0.5762777616138105,0.7374890893220832,0.6268015137330397,0.7187313664269136,0.36593376668501776,0.7293498190023976,0.5758110359698128,0.739142937517582,0.20326609694495382
EPI_heterodata_diag500_first.h5,500,60,full,32,32,2,2,0.001,100,cpu,0.710298582421914,0.7495487188805394,0.665893482973077,0.715353604926767,0.616433361019387,0.6816396259012248,0.7025908376531649,0.3601891790646975,0.6276236275844507,0.6927656797977326,0.6234624181389072,0.182611686803973
EPI_heterodata_diag500_first.h5,500,70,full,32,32,2,2,0.001,100,cpu,0.7063309454498352,0.592975492149836,0.656244020387218,0.5917337832901352,0.7207542574843008,0.6325390258188681,0.7082038384992361,0.1197754187522316,0.7044892648015615,0.600249497539677,0.711209708408175,0.19746246708388906
EPI_heterodata_diag500_first.h5,500,80,full,32,32,2,2,0.001,100,cpu,0.7156865087812737,0.7528409849195813,0.668681560682229,0.6064577859453548,0.730905335419103,0.6466977617983352,0.71914712876106,0.36708285004650393,0.7257675313752209,0.595486965076242,0.7340442569481065,0.20598713245068326
EPI_heterodata_diag500_first.h5,500,90,full,32,32,2,2,0.001,100,cpu,0.73281131929981,0.6223269310116735,0.6894502731058353,0.7690227678329998,0.6098777783786707,0.7123400897939248,0.7349677553769991,0.09741474901239998,0.6705027374854311,0.6883892690344303,0.6693586764343201,0.20076339504901883
EPI_heterodata_diag500_first.h5,500,20,full,32,32,2,2,0.001,100,cpu,116.783,0.7251042051604383,0.7571588591386569,0.657803433630436,0.5799485553628043,0.7356583118980679,0.628912458240083,0.726940683193283,0.36876185611683077,0.7304567558435071,0.5805493689680772,0.7399181582482116,0.20365467251182778
EPI_heterodata_diag500_first.h5,500,100,full,32,32,2,2,0.001,100,cpu,0.7302659482551384,0.6497149948612378,0.6837272417486125,0.7554765845584656,0.6119778989387596,0.7049004411589365,0.7390648680157579,0.12014395057879683,0.690217902308307,0.6630440079925922,0.6919613403915365,0.20514173703256935
EPI_heterodata_diag500_first.h5,500,30,full,32,32,2,2,0.001,100,cpu,97.46,0.7445121849615124,0.679604397141003,0.7034402641340236,0.815595320588595,0.5912852076794521,0.7333467719767633,0.7483300304166974,0.13795655375620422,0.6617760844653823,0.7372813352591879,0.6568686763325337,0.21015072848288008
EPI_heterodata_diag500_first.h5,500,40,full,32,32,2,2,0.001,100,cpu,108.608,0.7021704022185348,0.6349617096621571,0.6690400762771814,0.6734229385169009,0.6646572140374619,0.6704842982039779,0.7028360431052586,0.09075581405790809,0.6482877165146106,0.6966934111354243,0.6451746567845639,0.19315156213137408
EPI_heterodata_diag500_first.h5,500,50,full,32,32,2,2,0.001,100,cpu,130.221,0.7387038766922736,0.6855249850981288,0.6943610115298905,0.8043551981397151,0.5843668249200659,0.7246481178396073,0.7365459176140339,0.1148052288834224,0.6676049551031922,0.7147621383030898,0.6645996511911385,0.20487228868240157
EPI_heterodata_diag500_first.h5,500,60,full,32,32,2,2,0.001,100,cpu,153.957,0.6869410131971645,0.7412567416677245,0.6599283572477913,0.5756776881125355,0.7441790263830472,0.6286411234053775,0.69824401077625,0.3652072803694038,0.7306931371876867,0.5791474561190649,0.7404594477660955,0.20659905068313303
EPI_heterodata_diag500_first.h5,500,70,full,32,32,2,2,0.001,100,cpu,174.084,0.7069299383162474,0.6115388396625807,0.6672145118091064,0.6673797349473025,0.6670492886709103,0.6672694865887058,0.7068701827136517,0.09258611780702841,0.661854891178878,0.6659725114535611,0.6615898744130564,0.19236861628536484
EPI_heterodata_diag500_first.h5,500,80,full,32,32,2,2,0.001,100,cpu,206.974,0.6995353768722061,0.7435881561955131,0.6566774301641941,0.5758521948396137,0.7375026654887745,0.6264882555201127,0.7000169549625108,0.3612273858285302,0.7311188567189066,0.5738713248862098,0.7411048743999281,0.20311751643662646
EPI_heterodata_diag500_first.h5,500,90,full,32,32,2,2,0.001,100,cpu,230.453,0.7081571152355749,0.6764726024865855,0.6755187511897963,0.7212613200620054,0.6297761823175873,0.6897121160897719,0.7099128906350416,0.10017410330045455,0.6736270947395226,0.6741277509393452,0.6735946717279689,0.20080424024878685
EPI_heterodata_diag500_first.h5,500,100,full,32,32,2,2,0.001,100,cpu,256.262,0.7237825173842927,0.7548867552832402,0.6580721983937011,0.5754365074543444,0.7407078893330579,0.627271523178808,0.7194645902452719,0.36421340048708745,0.7281098678952564,0.5741194937702345,0.7379215502422254,0.2018940504735126
